Player,Year,Pk,G,PPG,APG,Start%,All-NBA,All Star,All-Defense,3P%,3PM_36,PTS_36,AST_36,REB_36,OBPM,DBPM,TS%,USG%,TOV%
Dwight Howard,2004,1.0,1242.0,15.698470209339774,1.345330112721417,0.8679549114331723,8.0,8.0,5.0,0.21359223300970873,0.020072483969891274,17.777834097878703,1.529158324251717,13.345464683072713,0.8697670882226222,1.0291862027016752,0.6034443824923335,22.24138936056973,17.006042020427298
Emeka Okafor,2004,2.0,616.0,11.95892857142857,0.8568181818181817,0.9788961038961039,0.0,0.0,0.0,0.0,0.0,13.923904487011283,0.9824193125163999,11.273261611125688,-0.5011073209131461,-0.05321437942797165,0.5390113356074522,18.91192862765678,12.641920755707163
Ben Gordon,2004,3.0,744.0,14.90806451612903,2.5163978494623658,0.36155913978494625,0.0,0.0,0.0,0.4008901061280383,2.0699204556613964,19.592654424040067,3.301973878032014,3.27192379455956,0.8749337130511636,-1.1881223607974074,0.5459960227830698,25.908848080133556,13.305165471864873
Shaun Livingston,2004,4.0,833.0,6.278871548619448,2.97563025210084,0.22929171668667467,0.0,0.0,0.0,0.1780821917808219,0.027228298813125437,10.956248545496859,5.200605073306958,4.165929718408192,-1.5260181521992089,0.5226553409355364,0.5310876192692576,15.625122178263904,17.2927391203165
Devin Harris,2004,5.0,985.0,10.760304568527918,3.926091370558375,0.4548223350253807,0.0,1.0,0.0,0.32525410476935107,1.2499269707465677,15.92004340024204,5.812460877185662,3.2314818678796478,0.5187247005800609,0.05793097692275594,0.5516347702708343,21.608216834286193,14.866206234611692
Josh Childress,2004,6.0,391.0,9.059846547314578,1.561381074168798,0.17902813299232737,0.0,0.0,0.0,0.3289036544850498,0.3416411042944785,12.243865030674847,2.101610429447853,6.38420245398773,1.1075632668711655,-0.3156825153374233,0.5885997891104294,14.954649156441718,12.897210506134968
Luol Deng,2004,7.0,902.0,14.817184035476721,2.262416851441241,0.917960088691796,0.0,2.0,1.0,0.33198789101917253,0.7655861155101645,15.545586761901683,2.375876668498109,6.362043889984164,0.7316667205326265,0.21046184674057075,0.5276298762160241,20.599844866035355,10.277486183381274
Rafael Araújo,2004,8.0,139.0,2.784892086330935,0.32014388489208634,0.539568345323741,0.0,0.0,0.0,0.25,0.022712933753943218,8.835331230283911,0.931230283911672,8.97160883280757,-6.231608832807571,-0.8914826498422714,0.4468902208201892,15.720946372239748,20.413564668769716
Andre Iguodala,2004,9.0,1231.0,11.343785540211211,4.196019496344435,0.6368805848903331,0.0,1.0,2.0,0.32977425259304455,0.9850406257118992,12.72807350596097,4.690105550915027,5.510213379907358,0.7689523375604324,1.3807148100336648,0.5554781937378186,16.92489179132812,15.242068494190903
Luke Jackson,2004,10.0,73.0,3.4616438356164383,0.7945205479452054,0.0410958904109589,0.0,0.0,0.0,0.3595505617977528,1.591160220994475,12.530386740331492,2.883977900552486,4.425414364640884,-2.714779005524862,-0.9798342541436463,0.47408701657458563,20.26864640883978,16.072790055248618
Andris Biedriņš,2004,11.0,516.0,6.299612403100776,0.9195736434108526,0.6027131782945736,0.0,0.0,0.0,0.0,0.0,10.487349721873318,1.508343800466535,11.727615287995693,-1.1083527722949937,0.7208146420240444,0.5818119504755069,12.436075722232191,15.766319755966265
Robert Swift,2004,12.0,97.0,4.282474226804124,0.2020618556701031,0.35051546391752575,0.0,0.0,0.0,0.0,0.0,9.984,0.48,9.024,-3.2277999999999993,-0.5854666666666667,0.5282766666666667,13.7974,15.223266666666667
Sebastian Telfair,2004,13.0,564.0,7.412765957446809,3.472517730496454,0.3421985815602837,0.0,0.0,0.0,0.31862312444836716,1.0697176722363981,12.395094246440037,5.807885422668533,2.660959749773644,-2.2136307515021816,-1.1655280269981068,0.47761560622273436,19.510165445715696,16.41435509095399
Kris Humphries,2004,14.0,800.0,6.696250000000001,0.69875,0.25375,0.0,0.0,0.0,0.2925531914893617,0.1391231028667791,13.532883642495785,1.4064080944350759,10.91231028667791,-1.1309724564362,-0.551124227093873,0.5152706576728499,18.902297639123102,11.779897414277684
Al Jefferson,2004,15.0,915.0,15.659234972677595,1.4646994535519127,0.7114754098360656,1.0,0.0,0.0,0.12121212121212122,0.010950986729533442,19.63375033271227,1.8438723905851933,10.526635993764021,1.4666565268641392,-0.2584394843910416,0.5282230503060953,25.436461462413014,8.274447697631087
Kirk Snyder,2004,16.0,211.0,6.340758293838862,1.1364928909952607,0.33649289099526064,0.0,0.0,0.0,0.3274021352313167,0.9355932203389831,13.55593220338983,2.450847457627119,4.9932203389830505,-0.6697740112994349,-0.5894350282485875,0.5238494350282485,19.43768361581921,13.988050847457627
Josh Smith,2004,17.0,894.0,14.55178970917226,3.1133109619686796,0.8635346756152126,0.0,0.0,1.0,0.28517110266159695,0.5586206896551724,16.13296551724138,3.462206896551724,8.258896551724138,0.25444482758620685,1.4625241379310343,0.5048777586206897,23.7074,14.619555172413794
J.R. Smith,2004,18.0,977.0,12.447082906857727,2.1267144319344937,0.40429887410440124,0.0,0.0,0.0,0.3727307840865199,2.644338725023787,16.644262607040915,2.8457469077069457,4.210390104662227,0.5464395813510942,-0.35443958135109416,0.5338956422454805,21.684635585156997,10.271280685061845
Dorell Wright,2004,19.0,549.0,8.375956284153007,1.55264116575592,0.40437158469945356,0.0,0.0,0.0,0.3648728562980485,1.8087947882736157,13.476547231270358,2.49185667752443,6.135830618892508,0.5887540716612379,0.34322475570032573,0.537742996742671,17.596685667752446,9.964144951140065
Jameer Nelson,2004,20.0,878.0,11.325854214123005,5.140091116173121,0.7277904328018223,0.0,1.0,0.0,0.3679004467134652,1.6915114715351074,14.582501324422347,6.6134724316394315,3.807001100289335,0.37309996332368883,-0.5099881820775092,0.5302189575777333,20.718725294429277,16.497884999388727
Pavel Podkolzin,2004,21.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.0,11.571428571428571,-14.335714285714285,-0.65,0.4105,15.664285714285713,44.13571428571429
Viktor Khryapa,2004,22.0,143.0,4.472727272727273,1.0013986013986016,0.40559440559440557,0.0,0.0,0.0,0.2916666666666667,0.21437686091025096,9.846022968949383,2.1743938749468312,7.533815397703105,-3.535133985538068,0.045002126754572554,0.4961790727350065,15.668736707783923,17.647256486601446
Sergei Monia,2004,23.0,26.0,3.0,0.7,0.5769230769230769,0.0,0.0,0.0,0.2647058823529412,0.9446064139941691,8.081632653061224,1.9941690962099126,5.457725947521866,-4.2,-1.1,0.413,14.5,11.4
Delonte West,2004,24.0,432.0,9.710648148148149,3.5745370370370364,0.5972222222222222,0.0,0.0,0.0,0.3715415019762846,1.1430501604458707,12.762033440297246,4.68164161459213,3.8456341834149637,0.0031666948150650036,0.9347069751731126,0.5392490288802567,17.87595000844452,15.164389461239656
Tony Allen,2004,25.0,820.0,8.120609756097563,1.3026829268292681,0.5378048780487805,0.0,0.0,6.0,0.28153153153153154,0.24923843810578786,13.2674605372473,2.1474383827194683,5.750429243976738,-1.6263638881196343,1.9341678205483241,0.5281547493769041,18.74528385488784,14.98349487676544
Kevin Martin,2004,26.0,714.0,17.372969187675068,1.9057422969187678,0.7058823529411765,0.0,0.0,0.0,0.3843044796227686,1.9052831763996474,20.69929031958811,2.257618627951204,3.803887007746185,2.0805464075328164,-1.1168375156547148,0.5846281367410362,24.381557586158912,10.204768310218473
Sasha Vujačić,2004,27.0,581.0,5.34750430292599,1.2936316695352839,0.09982788296041308,0.0,0.0,0.0,0.3673328738800827,2.1540188594521776,12.50381679389313,3.0229007633587788,4.417153120790301,-1.1539515042658284,0.19231028289178265,0.5166856757970364,16.653311629995507,10.097171082173327
Beno Udrih,2004,28.0,831.0,8.373525872442839,3.4412755716004817,0.32731648616125153,0.0,0.0,0.0,0.348575712143928,0.920538905691504,13.762551553478142,5.657849876271652,3.3891668957932364,-0.3324058289799285,-0.5911520483915313,0.5383937310970581,18.894215012372836,15.468419026670333
David Harrison,2004,29.0,189.0,5.011640211640212,0.26455026455026454,0.1746031746031746,0.0,0.0,0.0,0.0,0.0,12.7192851824274,0.6299329858525688,7.358153387937453,-5.6396128071481755,1.2067014147431123,0.5444579300074461,18.655696202531647,19.76522710349963
Anderson Varejão,2004,31.0,632.0,7.2506329113924055,1.1664556962025316,0.33069620253164556,0.0,0.0,1.0,0.023255813953488372,0.0023861602704314975,10.91429707695367,1.7586001193080136,10.811692185325114,-0.5598528534499901,0.8620202823622987,0.5431870484523099,14.514747796115861,12.298992510108041
Jackson Vroman,2004,32.0,87.0,3.280459770114942,0.6172413793103447,0.22988505747126436,0.0,0.0,0.0,0.0,0.0,9.234923492349235,1.6525652565256526,8.457245724572457,-5.375067506750676,0.24617461746174618,0.44640234023402336,16.768856885688567,20.905670567056706
Peter John Ramos,2004,33.0,6.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,7.2,-7.7,-2.3,0.506,30.3,21.6
Lionel Chalmers,2004,34.0,36.0,3.1,1.4,0.0,0.0,0.0,0.0,0.24489795918367346,0.9976905311778291,9.22863741339492,4.240184757505774,2.5773672055427252,-3.9,-1.4,0.409,17.0,15.0
