Name,Year,Draft Team,Team,Position,Pick,Height,Wingspan,yhat PTS,yhat AST,yhat TS%,yhat TOV%,yhat 3PM,yhat DBPM,Pct PTS,Pct AST,Pct TS%,Pct TOV%,Pct 3PM,Pct DBPM
KJ Simpson,2024,,Colorado,PG,42.4,73.5,76.5,9.449669548614114,3.3573749451229387,0.5030195771535838,13.067487572503488,1.3223448700613465,-0.43870151542051694,47.1,83.9,41.6,50.2,74.5,52.2
Ajay Mitchell,2024,,UC Santa Barbara,PG/SG,44.4,76.5,78.25,7.771239453758298,2.1688987966214093,0.48934351848528407,13.041719654345501,0.6780086673845243,-1.034942331253178,34.7,60.0,24.9,50.7,35.8,11.1
Jamal Shead,2024,,Houston,PG,46.4,73.5,75.0,8.35788219649069,3.7564517026030746,0.48033469435528875,14.16677076900463,1.1202139038014929,-0.2702745961917131,39.1,87.8,16.9,27.1,62.2,63.5
Dillon Jones,2024,,Weber State,SF,46.8,77.75,83.0,6.577338829930069,1.2834777954925942,0.48825015745926864,13.177752454948761,0.6830182728541343,-0.23734888058041798,25.4,29.4,23.8,48.2,36.3,66.9
Oso Ighodaro,2024,,Marquette,PF,48.4,82.75,83.0,5.795581533146949,1.4184376132295724,0.5111089469818567,12.633802131007826,0.011074646320770709,-0.2648521980614058,20.3,35.1,51.7,60.7,8.4,64.0
Melvin Ajinca,2024,,Saint-Quentin (France),SG/SF,48.4,80.5,79.5,5.641892516974923,1.1999059074600196,0.48279936709309795,10.810782085245087,1.443905940607635,-1.2188596852915707,18.9,26.3,19.3,92.4,81.2,6.0
Jaylen Wells,2024,,Washington State,SF,48.8,79.75,79.25,6.945628130007728,1.3438461331207117,0.5006088000112036,8.789364726900306,1.472159301655632,-1.1403263700286512,28.9,32.2,39.4,99.9,82.1,7.7
Cam Spencer,2024,,UConn,SG,49.6,76.25,77.0,5.617288921587147,1.9558890479152864,0.4967507616287585,10.105536337481038,1.48296948506106,-0.37514662804759347,18.6,53.2,33.8,97.7,82.5,56.9
Pelle Larsson,2024,,Arizona,SG,49.6,78.5,79.5,4.719841150928471,1.3977753899384702,0.4850154311121248,13.99966730355366,0.7304505409483261,-0.7168844159195791,13.6,33.9,21.1,30.2,39.5,31.3
Keshad Johnson,2024,,Arizona,PF,50.0,79.5,82.25,4.606498867577932,0.7544154988577876,0.4892485945897868,12.957735640219227,0.6002976260856662,-0.7527100366020214,13.1,15.0,24.8,52.6,32.0,28.5
Trey Alexander,2024,,Creighton,SG,51.2,76.5,82.5,5.9988506365241605,0.9184708090795204,0.48269050292099325,12.51303057342371,0.7367145910091968,-0.706578446830635,21.2,18.3,19.0,63.7,40.3,31.8
Jalen Bridges,2024,,Baylor,SF,51.6,80.0,82.0,4.627293528398883,0.8042284729434299,0.49428220677134793,10.432721153333976,1.231214591747598,-0.7250032322696841,13.2,15.7,30.8,96.3,68.8,30.6
Trentyn Flowers,2024,,Adelaide (NBL),SG,52.6,79.75,80.25,3.442500951193085,0.41282674209906833,0.4450793627220252,15.00046420804399,0.2876799910417408,-1.7401575853015232,7.2,7.7,0.8,14.0,17.6,0.4
Tristen Newton,2024,,UConn,PG/SG,56.2,76.5,78.75,4.773697771434641,1.3187679322578736,0.47033621772128265,15.191823914445894,0.8068567720776121,-0.683495203193842,14.3,31.0,9.7,12.0,44.1,33.4
PJ Hall,2024,,Clemson,PF,56.2,81.5,85.5,4.981006079764112,0.26483694302744665,0.4792336196281763,12.059841148710106,0.7157014751555563,-1.0396762790606935,15.4,5.4,16.1,72.6,38.5,10.8
Antonio Reeves,2024,,Kentucky,SG,57.5,77.75,80.25,4.2214846910197865,0.08955114113061469,0.48250484909818936,10.447745250226689,0.9519534071186412,-1.6732180995516077,11.4,3.5,18.7,96.0,52.5,0.7
Bronny James,2024,,USC,PG/SG,57.6,74.75,79.25,2.810351066408396,2.1000974584988015,0.45501487274170815,14.897269802747124,0.4852956280963595,-0.8570770016601915,4.5,57.9,2.5,15.1,26.2,21.5
Enrique Freeman,2024,,Akron,PF,59.2,80.5,86.0,2.800648518070755,-0.1638077108325804,0.48277495126523423,14.404197481501017,-0.09965998733026127,-0.5459998173603937,4.4,1.5,19.2,22.9,5.5,42.9
Isaac Jones,2024,,Washington State,PF,61.2,81.0,87.0,1.4565701508806477,-0.3675478134248784,0.48544380669518344,13.263199341581965,-0.32959145628319375,-1.0263374507579668,1.7,0.1,21.2,46.4,2.5,11.4
Quinten Post,2024,,Boston College,C,63.0,85.25,86.5,1.762595043544236,0.10477512662638766,0.47452779931915434,14.689864179985866,0.33567219866475795,-0.3252679267826667,2.1,3.8,12.9,17.7,19.6,59.8
Ariel Hukporti,2024,,Melbourne (NBL),C,63.8,84.0,86.5,-0.08884181689147574,-0.25726722905237076,0.4683412505529115,16.858744405619312,-0.6009168929899663,-0.2188450125264042,0.4,0.8,8.3,1.8,0.4,68.2
Reece Beekman,2024,,Virginia,PG,64.2,74.5,78.5,3.5273765968388338,2.3337769245626734,0.4622964752808373,14.644902179610229,0.27904817539719773,-0.5692646250125185,7.5,65.2,4.7,18.8,17.1,41.1
Isaiah Crawford,2024,,Louisiana Tech,SF,64.8,78.0,,2.717224363917044,0.2149803484606161,0.4649930386566112,13.229631013588648,0.2571546733448904,-0.2581535124954721,4.2,4.7,6.3,47.2,16.2,65.1
N'Faly Dante,2024,,Oregon,C,65.2,83.25,90.0,3.001322921567307,-0.18623383503802926,0.5285470369095773,14.959138328115582,-0.590422734649184,0.5216060707943567,5.3,1.3,72.2,14.4,0.4,95.0
Mantas Rubstavicius,2024,,New Zealand (NBL),SG,67.0,80.5,79.25,0.746972569174428,0.558926391286436,0.46396038489402097,13.67307294577387,0.704411765346514,-0.9996297997516325,0.9,11.0,5.4,37.1,37.5,12.3
Judah Mintz,2024,,Syracuse,PG,68.0,76.0,75.5,3.8533746767284303,2.0549862136205372,0.46014900607419523,14.179537423022689,0.10745821801352484,-0.9706658049187327,9.0,56.5,3.8,26.7,10.5,13.5
